output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Linker_Error,collect2: error: ld returned 1 exit status,AsyncSTM,MiniMax-M2.5,Legion
14,build,build,Linker_Error,collect2: error: ld returned 1 exit status,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Declaration_Or_Function_Call_Error,astm_config.hpp:49:15: error: using typedef-name ‘Legion::Context’ after ‘class’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:154:18: error: ‘promise’ is not a member of ‘std’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:154:36: error: expected primary-expression before ‘>’ token,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm_config.hpp:154:38: error: ‘promise’ was not declared in this scope,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:155:18: error: ‘future’ is not a member of ‘std’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:155:35: error: expected primary-expression before ‘>’ token,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm_config.hpp:155:37: error: ‘fut’ was not declared in this scope,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:161:25: error: ‘promise’ is not captured,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:163:25: error: ‘promise’ is not captured,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,astm_config.hpp:166:21: error: ‘promise’ is not captured,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,166 |                     promise.set_exception(std::current_exception());,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm.hpp:169:36: error: no match for call to ‘(astm::legion_future<void>) ()’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm.hpp:174:36: error: no match for call to ‘(astm::legion_future<void>) ()’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm.hpp:223:65: error: no match for call to ‘(astm::legion_future<void>) ()’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm.hpp:225:76: error: no match for call to ‘(astm::legion_future<void>) ()’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm.hpp:227:71: error: no match for call to ‘(astm::legion_future<void>) ()’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Type_Error,astm.hpp:229:95: error: no match for call to ‘(astm::legion_future<void>) ()’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,unit_tests.cpp:197:17: error: ‘ID_AUTO’ is not a member of ‘Legion’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,unit_tests.cpp:198:17: error: ‘ID_AUTO’ is not a member of ‘Legion’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,unit_tests.cpp:199:17: error: ‘ID_AUTO’ is not a member of ‘Legion’,AsyncSTM,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,unit_tests.cpp:200:17: error: ‘ID_AUTO’ is not a member of ‘Legion’,AsyncSTM,MiniMax-M2.5,Legion
9,build,build,Syntax_Error,binary_tree.cpp:116:5: error: ‘binary_tree’ is not a template,AsyncSTM,MiniMax-M2.5,Legion
9,build,code_only_build,Syntax_Error,binary_tree.cpp:116:5: error: ‘binary_tree’ is not a template,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Syntax_Error,astm_config.hpp:32:39: error: ‘const class Legion::Future’ has no member named ‘get_void’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,astm.hpp:211:36: error: no match for call to ‘(astm::legion_future) ()’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,astm.hpp:216:36: error: no match for call to ‘(astm::legion_future) ()’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,astm.hpp:265:65: error: no match for call to ‘(astm::legion_future) ()’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,astm.hpp:267:76: error: no match for call to ‘(astm::legion_future) ()’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,astm.hpp:269:71: error: no match for call to ‘(astm::legion_future) ()’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,astm.hpp:271:95: error: no match for call to ‘(astm::legion_future) ()’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Syntax_Error,astm.hpp:412:39: error: expected ‘)’ before ‘this’,AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,binary_tree.cpp:161:17: error: no match for ‘operator<<’ (operand types are ‘std::ofstream’ {aka ‘std::basic_ofstream<char>’} and ‘const char [17]’),AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,"/gridapps/software/GCCcore/13.3.0/include/c++/13.3.0/ostream:801:5: error: no type named ‘type’ in ‘struct std::enable_if<false, void>’",AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,binary_tree.cpp:163:21: error: no match for ‘operator<<’ (operand types are ‘std::ofstream’ {aka ‘std::basic_ofstream<char>’} and ‘const char [15]’),AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,"/gridapps/software/GCCcore/13.3.0/include/c++/13.3.0/ostream:801:5: error: no type named ‘type’ in ‘struct std::enable_if<false, void>’",AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,binary_tree.cpp:166:17: error: no match for ‘operator<<’ (operand types are ‘std::ofstream’ {aka ‘std::basic_ofstream<char>’} and ‘const char [2]’),AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,"/gridapps/software/GCCcore/13.3.0/include/c++/13.3.0/ostream:801:5: error: no type named ‘type’ in ‘struct std::enable_if<false, void>’",AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,binary_tree.cpp:169:17: error: no match for ‘operator<<’ (operand types are ‘std::ofstream’ {aka ‘std::basic_ofstream<char>’} and ‘const char [23]’),AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,"/gridapps/software/GCCcore/13.3.0/include/c++/13.3.0/ostream:801:5: error: no type named ‘type’ in ‘struct std::enable_if<false, void>’",AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,binary_tree.cpp:172:21: error: no match for ‘operator<<’ (operand types are ‘std::ofstream’ {aka ‘std::basic_ofstream<char>’} and ‘const char [15]’),AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,"/gridapps/software/GCCcore/13.3.0/include/c++/13.3.0/ostream:801:5: error: no type named ‘type’ in ‘struct std::enable_if<false, void>’",AsyncSTM,MiniMax-M2.5,Legion
17,build,build,Type_Error,binary_tree.cpp:177:25: error: no match for ‘operator<<’ (operand types are ‘std::ofstream’ {aka ‘std::basic_ofstream<char>’} and ‘const char [23]’),AsyncSTM,MiniMax-M2.5,Legion
