output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,"binary_tree.cpp:90:66: error: ‘class Legion::ArraySyntax::AccessorRefHelper<FixedString, LEGION_READ_WRITE>’ has no member named ‘str’",AsyncSTM,claude-opus-4-6,Legion
14,build,code_only_build,Syntax_Error,"binary_tree.cpp:90:66: error: ‘class Legion::ArraySyntax::AccessorRefHelper<FixedString, LEGION_READ_WRITE>’ has no member named ‘str’",AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0x53): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x64): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x76): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x91): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0xc3): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0x237c): undefined reference to `gzflush',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x2385): undefined reference to `gzclose',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0x928b): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0xa178): undefined reference to `gzopen',AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,collect2: error: ld returned 1 exit status,AsyncSTM,claude-opus-4-6,Legion
9,build,build,Linker_Error,collect2: error: ld returned 1 exit status,AsyncSTM,claude-opus-4-6,Legion
17,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0x53): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
17,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x64): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
17,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x76): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
17,build,build,Linker_Error,/usr/bin/ld: legion_profiling_serializer.cc:(.text+0x91): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
17,build,build,Linker_Error,legion_profiling_serializer.cc:(.text+0xc3): undefined reference to `gzwrite',AsyncSTM,claude-opus-4-6,Legion
