output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Type_Error,astm.hpp:134:24: error: typedef declared ‘auto’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,astm.hpp:189:9: error: class ‘astm::transaction_future’ does not have any field named ‘fut_’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:189:36: error: no match for call to ‘(std::future<void>) ()’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,astm.hpp:194:9: error: class ‘astm::transaction_future’ does not have any field named ‘fut_’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:194:36: error: no match for call to ‘(std::future<void>) ()’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:202:9: error: ‘fut_’ was not declared in this scope,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:134:24: error: typedef declared ‘auto’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,astm.hpp:243:37: error: class ‘astm::shared_var<T>’ does not have any field named ‘queue’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,astm.hpp:245:48: error: class ‘astm::shared_var<T>’ does not have any field named ‘queue’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,astm.hpp:247:43: error: class ‘astm::shared_var<T>’ does not have any field named ‘queue’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,astm.hpp:249:67: error: class ‘astm::shared_var<T>’ does not have any field named ‘queue’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"astm.hpp:314:9: error: wrong number of template arguments (1, should be 2)",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:315:5: error: template argument 1 is invalid,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:315:5: error: template argument 2 is invalid,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:134:24: error: missing template argument list after ‘std::future’; template placeholder not permitted in parameter,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,"astm.hpp:326:20: error: request for member ‘clear’ in ‘((astm::transaction*)this)->astm::transaction::async_list’, which is of non-class type ‘int’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"astm.hpp:384:52: error: wrong number of template arguments (1, should be 2)",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:385:15: error: ‘begin’ was not declared in this scope; did you mean ‘std::begin’?,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:385:15: error: ‘end’ was not declared in this scope; did you mean ‘std::end’?,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,"astm.hpp:388:20: error: request for member ‘first’ in ‘op’, which is of non-class type ‘int’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,"astm.hpp:390:31: error: request for member ‘second’ in ‘op’, which is of non-class type ‘int’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,"astm.hpp:393:22: error: request for member ‘first’ in ‘op’, which is of non-class type ‘int’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,"astm.hpp:393:45: error: request for member ‘second’ in ‘op’, which is of non-class type ‘int’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"astm.hpp:471:46: error: wrong number of template arguments (1, should be 2)",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:471:54: error: ‘fut’ was not declared in this scope,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Declaration_Or_Function_Call_Error,astm.hpp:471:60: error: expression list treated as compound expression in initializer [-fpermissive],AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,"astm.hpp:472:20: error: request for member ‘push_back’ in ‘((astm::transaction*)this)->astm::transaction::async_list’, which is of non-class type ‘int’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,astm.hpp:517:19: error: ‘fut_’ was not declared in this scope,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,binary_tree.cpp:40:7: error: ‘binary_tree’ was not declared in this scope,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Syntax_Error,binary_tree.cpp:40:19: error: expected primary-expression before ‘int’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,binary_tree.cpp:64:9: error: ‘tree’ was not declared in this scope; did you mean ‘free’?,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,binary_tree.cpp:75:18: error: ‘tree’ was not declared in this scope; did you mean ‘free’?,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"binary_tree.cpp:106:65: error: no matching function for call to ‘Legion::Runtime::register_legion_task<BinaryTreeTopLevelTask::TASK_ID>(void (&)(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*), Realm::Processor::Kind, bool, bool)’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"binary_tree.cpp:106:65: error: type/value mismatch at argument 1 in template parameter list for ‘template<class T, T (* TASK_PTR)(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*)> static Legion::TaskID Legion::Runtime::register_legion_task(Legion::TaskID, Realm::Processor::Kind, bool, bool, Legion::VariantID, Legion::TaskConfigOptions, const char*)’",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"binary_tree.cpp:106:65: error: conversion from ‘int’ to ‘void (*)(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*)’ {aka ‘void (*)(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Internal::TaskContext*, Legion::Runtime*)’} in a converted constant expression",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,build,Type_Error,"binary_tree.cpp:106:65: error: could not convert ‘BinaryTreeTopLevelTask::TASK_ID’ from ‘const int’ to ‘void (*)(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*)’ {aka ‘void (*)(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Internal::TaskContext*, Legion::Runtime*)’}",AsyncSTM,openai/gpt-oss-120b,Legion
14,build,code_only_build,Syntax_Error,astm.hpp:61:27: error: ‘register_task_void’ is not a member of ‘Legion::Runtime’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,code_only_build,Type_Error,astm.hpp:112:69: error: no matching function for call to ‘Legion::Future::from_value<void>(std::nullptr_t)’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,code_only_build,Declaration_Or_Function_Call_Error,/Users/robsonlab/Teetly/legion-legion-25.06.0/install_scigrid/include/legion/legion.inl:18683:30: error: forming reference to void,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,code_only_build,Type_Error,astm.hpp:112:69: error: no matching function for call to ‘Legion::Future::from_value<void>(std::nullptr_t)’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,code_only_build,Type_Error,astm.hpp:202:17: error: no matching function for call to ‘Legion::Future::get()’,AsyncSTM,openai/gpt-oss-120b,Legion
14,build,code_only_build,Type_Error,astm.hpp:112:69: error: no matching function for call to ‘Legion::Future::from_value<void>(std::nullptr_t)’,AsyncSTM,openai/gpt-oss-120b,Legion
