output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Type_Error,main.cpp:51:37: error: ‘::program_name’ has not been declared,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:52:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:60:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:160:17: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:177:17: error: ‘init’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,octree.hpp:225:45: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,octree.hpp:243:45: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,octree.hpp:259:45: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Type_Error,main.cpp:51:37: error: ‘::program_name’ has not been declared,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:52:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:60:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:110:24: error: ‘for_loop’ is not a member of ‘hpx::parallel’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:110:59: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:120:24: error: ‘for_loop’ is not a member of ‘hpx::parallel’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:120:59: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:130:24: error: ‘for_loop’ is not a member of ‘hpx::parallel’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:130:59: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:160:17: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,build,Syntax_Error,main.cpp:177:17: error: ‘init’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Type_Error,main.cpp:51:37: error: ‘::program_name’ has not been declared,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:52:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:60:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:160:17: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:177:17: error: ‘init’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,octree.hpp:225:45: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,octree.hpp:243:45: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,octree.hpp:259:45: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Type_Error,main.cpp:51:37: error: ‘::program_name’ has not been declared,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:52:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:60:21: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:110:24: error: ‘for_loop’ is not a member of ‘hpx::parallel’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:110:59: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:120:24: error: ‘for_loop’ is not a member of ‘hpx::parallel’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:120:59: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:130:24: error: ‘for_loop’ is not a member of ‘hpx::parallel’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:130:59: error: ‘par’ is not a member of ‘hpx::parallel::execution’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:160:17: error: ‘finalize’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
14,build,code_only_build,Syntax_Error,main.cpp:177:17: error: ‘init’ is not a member of ‘hpx’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:46:32: error: ‘particle’ has incomplete type,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:46:48: error: ‘space’ has incomplete type,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:67:59: error: ‘space’ has incomplete type,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:74:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:74:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:75:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:75:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:76:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:76:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:77:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:77:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:78:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:78:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:79:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:79:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:80:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:80:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:81:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:81:12: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:89:65: error: ‘space’ has incomplete type,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:108:30: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:110:18: error: ‘in_space’ was not declared in this scope; did you mean ‘iswspace’?,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:114:25: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:114:35: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:115:25: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:115:35: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:116:25: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:116:35: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:118:33: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:119:27: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:119:36: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:120:27: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
9,build,build,Type_Error,particle.hpp:120:36: error: invalid use of incomplete type ‘struct Particle’,Barnes_Hut,MiniMax-M2.5,HPX
