output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,code_only_build,Type_Error,particle.hpp:142:14: error: ‘in_space’ was not declared in this scope; did you mean ‘iswspace’?,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,octree.hpp:208:32: error: ‘GRAVITY’ was not declared in this scope,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,octree.hpp:221:41: error: ‘THETA’ was not declared in this scope; did you mean ‘TCSETA’?,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,octree.hpp:223:32: error: ‘GRAVITY’ was not declared in this scope,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,main.cpp:93:10: error: ‘hpx::collectives’ has not been declared,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,particle.hpp:142:14: error: ‘in_space’ was not declared in this scope; did you mean ‘iswspace’?,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,octree.hpp:208:32: error: ‘GRAVITY’ was not declared in this scope,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,octree.hpp:221:41: error: ‘THETA’ was not declared in this scope; did you mean ‘TCSETA’?,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,octree.hpp:223:32: error: ‘GRAVITY’ was not declared in this scope,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,main.cpp:17:33: error: ‘par’ has not been declared in ‘hpx::parallel::execution’,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,main.cpp:18:22: error: ‘for_loop’ has not been declared in ‘hpx::parallel’,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Syntax_Error,main.cpp:93:23: error: ‘broadcast’ is not a member of ‘hpx::collectives’; did you mean ‘broadcast_to’?,Barnes_Hut,openai/gpt-oss-120b,HPX
14,build,code_only_build,Type_Error,main.cpp:117:18: error: ‘par’ was not declared in this scope,Barnes_Hut,openai/gpt-oss-120b,HPX
