output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpchiteknc/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmp65as7c5k/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
9,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmp9w72od4f/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
9,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmp7doseh03/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
17,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpcpb5auxb/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
17,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpd4xw65g9/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
19,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmp4a7f1kc6/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
19,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpqcylz20j/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
8,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpewz5p_tr/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
8,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpfit8wgn7/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
13,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmp1xdln87f/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
13,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpbbgrs4ei/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
16,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpy6dkz43d/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
16,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmphs168t0h/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
0,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmp68q_o7dx/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
0,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/glm/tmpmzncimc1/heaps.cpp:2:10: fatal error: legion_utilities.h: No such file or directory,heapify,zai-org/GLM-4.7-Flash,Legion
