output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:41:13: error: ‘AccessorWO’ is not a member of ‘Legion’,heapify,MiniMax-M2.5,Legion
14,build,build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:41:25: error: expected primary-expression before ‘,’ token",heapify,MiniMax-M2.5,Legion
14,build,build,Declaration_Or_Function_Call_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:41:30: error: there are no arguments to ‘acc’ that depend on a template parameter, so a declaration of ‘acc’ must be available [-fpermissive]",heapify,MiniMax-M2.5,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:42:35: error: ‘class Legion::PhysicalRegion’ has no member named ‘logical_region’; did you mean ‘get_logical_region’?,heapify,MiniMax-M2.5,Legion
14,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:46:15: error: ‘acc’ was not declared in this scope,heapify,MiniMax-M2.5,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:105:13: error: ‘AccessorWO’ is not a member of ‘Legion’,heapify,MiniMax-M2.5,Legion
14,build,build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:105:25: error: expected primary-expression before ‘,’ token",heapify,MiniMax-M2.5,Legion
14,build,build,Declaration_Or_Function_Call_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:105:30: error: there are no arguments to ‘acc’ that depend on a template parameter, so a declaration of ‘acc’ must be available [-fpermissive]",heapify,MiniMax-M2.5,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:106:35: error: ‘class Legion::PhysicalRegion’ has no member named ‘logical_region’; did you mean ‘get_logical_region’?,heapify,MiniMax-M2.5,Legion
14,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:110:15: error: ‘acc’ was not declared in this scope,heapify,MiniMax-M2.5,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/minimax/tmp4qqnf8sk/sift.hpp:183:84: error: ‘WRITE_DISCARD’ is not a member of ‘Legion’; did you mean ‘WRITE_DISCARD’?,heapify,MiniMax-M2.5,Legion
