output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/sift.hpp:96:21: error: ‘const class Legion::FieldAccessor<LEGION_READ_WRITE, int, 1>’ has no member named ‘ptr’",heapify,claude-opus-4-6,Legion
14,build,build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/sift.hpp:118:21: error: ‘const class Legion::FieldAccessor<LEGION_READ_WRITE, int, 1>’ has no member named ‘ptr’",heapify,claude-opus-4-6,Legion
14,build,build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/heaps.cpp:17:5: error: ‘TOP_LEVEL_TASK_ID’ conflicts with a previous declaration,heapify,claude-opus-4-6,Legion
14,build,build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/heaps.cpp:18:5: error: ‘SIFT_DOWN_RANGE_TASK_ID’ conflicts with a previous declaration,heapify,claude-opus-4-6,Legion
14,build,build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/heaps.cpp:22:5: error: ‘FID_VAL’ conflicts with a previous declaration,heapify,claude-opus-4-6,Legion
14,build,build,Declaration_Or_Function_Call_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/heaps.cpp:36:6: error: redefinition of ‘void sift_down_range_task(const Legion::Task*, const std::vector<Legion::PhysicalRegion>&, Legion::Context, Legion::Runtime*)’",heapify,claude-opus-4-6,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmprjc3t76g/heaps.cpp:57:20: error: no matching function for call to ‘sift_down_range(int*&, int*&, std::less<int>, std::ptrdiff_t, int*&, std::size_t)’",heapify,claude-opus-4-6,Legion
14,build,code_only_build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmpgfpvtwtb/sift.hpp:96:21: error: ‘const class Legion::FieldAccessor<LEGION_READ_WRITE, int, 1>’ has no member named ‘ptr’",heapify,claude-opus-4-6,Legion
14,build,code_only_build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmpgfpvtwtb/sift.hpp:118:21: error: ‘const class Legion::FieldAccessor<LEGION_READ_WRITE, int, 1>’ has no member named ‘ptr’",heapify,claude-opus-4-6,Legion
14,build,code_only_build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/claude_4.6_opus/tmpgfpvtwtb/heaps.cpp:17:5: error: ‘TOP_LEVEL_TASK_ID’ conflicts with a previous declaration,heapify,claude-opus-4-6,Legion
