output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpd5jmg97k/heaps.cpp:1:1: error: ‘Runtime’ does not name a type,heapify,openai/gpt-oss-120b,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpd5jmg97k/heaps.cpp:1:73: error: expected unqualified-id before ‘)’ token,heapify,openai/gpt-oss-120b,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpd5jmg97k/heaps.cpp:4:6: error: expected unqualified-id before ‘)’ token,heapify,openai/gpt-oss-120b,Legion
9,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:105:48: error: ‘difference_type’ does not name a type,heapify,openai/gpt-oss-120b,Legion
9,build,build,Syntax_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:124:47: error: ‘TaskID’ is not a class, namespace, or enumeration",heapify,openai/gpt-oss-120b,Legion
9,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:138:11: error: ‘AccessorRO’ does not name a type,heapify,openai/gpt-oss-120b,Legion
9,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:139:35: error: ‘acc’ was not declared in this scope; did you mean ‘acct’?,heapify,openai/gpt-oss-120b,Legion
9,build,build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:151:44: error: cannot bind rvalue reference of type ‘std::less<int>&&’ to lvalue of type ‘std::less<int>’,heapify,openai/gpt-oss-120b,Legion
9,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:200:30: error: ‘class Legion::Runtime’ has no member named ‘get_index_space’; did you mean ‘get_index_subspace’?,heapify,openai/gpt-oss-120b,Legion
9,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/heapify/scratch/oss/tmpnku4uz85/sift.hpp:200:60: error: ‘class Legion::Runtime’ has no member named ‘get_index_space_id’; did you mean ‘get_index_space_domain’?,heapify,openai/gpt-oss-120b,Legion
