output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:82:43: error: ‘const class Legion::DomainPoint’ has no member named ‘get_point’,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:82:56: error: expected primary-expression before ‘)’ token,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:112:43: error: ‘const class Legion::DomainPoint’ has no member named ‘get_point’,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:112:56: error: expected primary-expression before ‘)’ token,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:124:15: error: no match for ‘operator+=’ (operand types are ‘Legion::ArraySyntax::AccessorRefHelper<double, LEGION_READ_WRITE>’ and ‘double’)",osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:133:43: error: ‘const class Legion::DomainPoint’ has no member named ‘get_point’,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:133:56: error: expected primary-expression before ‘)’ token,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:144:15: error: no match for ‘operator+=’ (operand types are ‘Legion::ArraySyntax::AccessorRefHelper<double, LEGION_READ_WRITE>’ and ‘double’)",osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:153:43: error: ‘const class Legion::DomainPoint’ has no member named ‘get_point’,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:153:56: error: expected primary-expression before ‘)’ token,osc_chain_1d,gpt-5.3-codex,Legion
14,build,build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/gpt-5.3-codex/tmpj6spbxur/odeint.cpp:248:49: error: ‘from_point’ is not a member of ‘Legion::DomainPoint’,osc_chain_1d,gpt-5.3-codex,Legion
