output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:81:29: error: ‘class Legion::Runtime’ has no member named ‘physical_blas’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:95:29: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:95:50: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:111:31: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:111:52: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:112:32: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:112:53: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:113:34: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:113:55: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:136:31: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:136:52: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:137:32: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:137:53: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:138:32: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:138:53: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:139:34: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:139:55: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:164:31: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:164:52: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:165:32: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:165:53: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:166:34: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:166:55: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:194:32: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:194:53: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:195:38: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:195:59: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:196:38: error: ‘class Legion::Runtime’ has no member named ‘get_instance_pointer’,osc_chain_1d,MiniMax-M2.5,Legion
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/minimax/tmpgco6nln3/odeint.cpp:196:59: error: expected primary-expression before ‘double’,osc_chain_1d,MiniMax-M2.5,Legion
