output_number,phase,source,error_type,error_message,app,llm,dest_model
17,build,code_only_build,Type_Error,"/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpc05x333p/odeint.cpp:236:20: error: no match for ‘operator+=’ (operand types are ‘Legion::ArraySyntax::AccessorRefHelper<double, LEGION_READ_WRITE>’ and ‘double’)",osc_chain_1d,claude-opus-4-6,Legion
13,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpnui0j8zc/odeint.cpp:243:5: error: ‘DomainPointColoring’ was not declared in this scope,osc_chain_1d,claude-opus-4-6,Legion
13,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpnui0j8zc/odeint.cpp:247:9: error: ‘ghost_coloring’ was not declared in this scope,osc_chain_1d,claude-opus-4-6,Legion
13,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpnui0j8zc/odeint.cpp:249:40: error: ‘class Legion::Runtime’ has no member named ‘create_index_partition’; did you mean ‘get_index_partition’?,osc_chain_1d,claude-opus-4-6,Legion
13,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpnui0j8zc/odeint.cpp:250:28: error: ‘ghost_coloring’ was not declared in this scope,osc_chain_1d,claude-opus-4-6,Legion
0,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpha8xo_9w/system.hpp:165:39: error: ‘struct state_type’ has no member named ‘num_partitions’,osc_chain_1d,claude-opus-4-6,Legion
0,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpha8xo_9w/system.hpp:171:71: error: ‘struct state_type’ has no member named ‘lp’,osc_chain_1d,claude-opus-4-6,Legion
0,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpha8xo_9w/system.hpp:172:71: error: ‘struct state_type’ has no member named ‘lp’,osc_chain_1d,claude-opus-4-6,Legion
0,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpha8xo_9w/system.hpp:173:74: error: ‘struct state_type’ has no member named ‘lp’,osc_chain_1d,claude-opus-4-6,Legion
0,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/opus/tmpha8xo_9w/system.hpp:176:63: error: ‘struct state_type’ has no member named ‘lr’,osc_chain_1d,claude-opus-4-6,Legion
