output_number,phase,source,error_type,error_message,app,llm,dest_model
14,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmp8dlfag82/odeint.cpp:24:10: fatal error: legion/legion_cpp.h: No such file or directory,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:114:1: error: unterminated comment,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Boost_Error,/Users/robsonlab/Teetly/hpx/boost_1_64_0/install/include/boost/numeric/ublas/storage.hpp:299:33: error: ‘make_array’ is not a member of ‘boost::serialization’,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Boost_Error,/Users/robsonlab/Teetly/hpx/boost_1_64_0/install/include/boost/numeric/ublas/storage.hpp:494:33: error: ‘make_array’ is not a member of ‘boost::serialization’,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Boost_Error,/Users/robsonlab/Teetly/hpx/boost_1_64_0/install/include/boost/numeric/ublas/matrix.hpp:5977:33: error: ‘make_array’ is not a member of ‘boost::serialization’,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Declaration_Or_Function_Call_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:51:9: error: duplicate cv-qualifier,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:51:15: error: expected initializer before ‘size_t’,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:52:42: error: ‘q’ was not declared in this scope,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:53:32: error: ‘N’ was not declared in this scope,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:54:13: error: ‘dpdt’ was not declared in this scope,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:58:9: error: ‘dpdt’ was not declared in this scope,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:58:14: error: ‘N’ was not declared in this scope,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Type_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:60:45: error: ‘q_r’ was not declared in this scope,osc_chain_1d,openai/gpt-oss-120b,Legion
9,build,code_only_build,Syntax_Error,/Users/robsonlab/scratch/hpx_to_legion_repo/osc_chain_1d/scratch/oss/tmpc3gg4keu/odeint.cpp:65:9: error: expected initializer before ‘double’,osc_chain_1d,openai/gpt-oss-120b,Legion
